Cloud-native features allow multi-tenancy,<object> Cloud-native features <relationship> allow <object> multi-tenancy.,CloudNativeFeatures,allow,MultiTenancy,
Cloud-native features allow elasticity,<object> Cloud-native features <relationship> allow <object> elasticity.,CloudNativeFeatures,allow,Elasticity,
Slicing is a used in managing network resources,<object> Slicing <relationship> is used in <object> managing network resources.,Slicing,isUsedIn,ManagingNetworkResources,
5G continues Control and User Plane Separation (CUPS) principle,<object> 5G <relationship> continues <object> Control and User Plane Separation (CUPS) principle,5G,continues,ControlAndUserPlaneSeparationCUPSPrinciple,
Control and User Plane Separation (CUPS) principle was introduced in 3GPP Release 14,<object> Control and User Plane Separation (CUPS) principle <relationship> was introduced in <object> 3GPP Release 14,ControlAndUserPlaneSeparationCUPSPrinciple,wasIntroducedIn,3GPPRelease14,
 CUPS principle allows independent placement of control-plane functions,<object> CUPS principle <relationship> allows <object> independent placement of control-plane functions,CUPSPrinciple,allows,IndependentPlacementOfControlPlaneFunctions,
CUPS enables UPF deployment close to the network edge,<object> CUPS <relationship> enables <object> UPF deployment close to the network edge,CUPS,enables,UPFDeploymentCloseToTheNetworkEdge,
UPF close to the network edge supports latency-sensitive services.,<object> UPF deployment close to the network edge <relationship> supports <object> latency-sensitive services.,UPFDeploymentCloseToTheNetworkEdge,supports,LatencySensitiveServices,
Separation of control and user planes (CUPS) enhances fault isolation.,<object> Separation of control and user planes (CUPS) <relationship> enhances <object> fault isolation.,SeparationOfControlAndUserPlanesCUPS,enhances,FaultIsolation,
CUPS is a prerequisite for flexible network slicing.,<object> CUPS <relationship> is a prerequisite for  <object> flexible network slicing.,CUPS,isAPrerequisiteFor,FlexibleNetworkSlicing,
5G SBA enables stateless operation of AMF.,<object> 5G SBA <relationship> enables <object> stateless operation of AMF.,5GSBA,enables,StatelessOperationOfAMF,
Stateless NFs gain elasticity,<object> Stateless NFs <relationship> gain <object> elasticity,StatelessNFs,gain,Elasticity,
Stateless NFs gain failure resilience,<object> Stateless NFs <relationship> gain <object> failure resilience,StatelessNFs,gain,FailureResilience,
Stateless NFs enable container-based deployments,<object> Stateless NFs <relationship> enable <object> container-based deployments,StatelessNFs,enable,ContainerBasedDeployments,
Stateless NFs enable fast restarts,<object> Stateless NFs <relationship> enable <object> fast restarts,StatelessNFs,enable,FastRestarts,
Fast restarts occur without local state loss,<object> Fast restarts <relationship> occur without <object> local state loss,FastRestarts,occurWithout,LocalStateLoss,
UDSF acts as centralized non-relational key-value store,"<object> UDSF acts as centralized non-relational key-value store, ""UDSF <relationship> enables <object> fast read/write of UE-related state.",UDSF,enables,FastReadWriteOfUERelatedState,
"UDSF acts as centralized non-relational key-value store, ""UDSF enables fast read/write of UE-related state.",<object> UDSF <relationship> acts as <object> centralized non-relational key-value store,UDSF,actsAs,CentralizedNonRelationalKeyValueStore,
Stateful NFs is a tightly coupled with internal UE context.,<object> Stateful NFs <relationship> is a <object> tightly coupled with internal UE context,StatefulNFs,isA,TightlyCoupledWithInternalUEContext,
NG-RAN is a split into gNB-DU.,<object> NG-RAN <relationship> is a <object> split into gNB-DU.,NGRAN,isA,SplitIntoGNBDU,
gNB-CU is a functionally divided into CU-CP.,<object> gNB-CU <relationship> is a <object> functionally divided into CU-CP.,GNBCU,isA,FunctionallyDividedIntoCUCP,
CU-CP connects to AMF.,<object> CU-CP <relationship> connects to <object> AMF.,CUCP,connectsTo,AMF,
CUPS architecture enables horizontal scaling.,<object> CUPS architecture <relationship> enables <object> horizontal scaling.,CUPSArchitecture,enables,HorizontalScaling,
5G NR uses scalable OFDM numerology.,<object> 5G NR <relationship> uses <object> scalable OFDM numerology.,5GNR,uses,ScalableOFDMNumerology,
Separation of control and data functions allows independent edge deployment,<object> Separation of control and data functions <relationship> allows <object> independent edge deployment,SeparationOfControlAndDataFunctions,allows,IndependentEdgeDeployment,
Separation of control and data functions allows CU-UP edge deployment,<object> Separation of control and data functions <relationship> allows <object> CU-UP edge deployment,SeparationOfControlAndDataFunctions,allows,CUUPEdgeDeployment,
Separation of control and data functions allows CU-CP centralization,<object> Separation of control and data functions <relationship> allows <object> CU-CP centralization,SeparationOfControlAndDataFunctions,allows,CUCPCentralization,
CU-UP at the edge reduces latency,<object> CU-UP at the edge <relationship> reduces <object> latency,CUUPAtTheEdge,reduces,Latency,
Independent edge deployment enables low latency,<object> Independent edge deployment <relationship> enables <object> low latency,IndependentEdgeDeployment,enables,LowLatency,
Functional splits enhance vendor diversity,<object> Functional splits <relationship> enhance <object> vendor diversity,FunctionalSplits,enhance,VendorDiversity,
Functional splits enhance network slicing,<object> Functional splits <relationship> enhance <object> network slicing,FunctionalSplits,enhance,NetworkSlicing,
Functional splits enhance multi-tenant orchestration,<object> Functional splits <relationship> enhance <object> multi-tenant orchestration,FunctionalSplits,enhance,MultiTenantOrchestration,
Multi-tenant orchestration occurs in cloud-native environments,<object> Multi-tenant orchestration <relationship> occurs in <object> cloud-native environments,MultiTenantOrchestration,occursIn,CloudNativeEnvironments,
NRF centralizes service registry,<object> NRF <relationship> centralizes <object> service registry,NRF,centralizes,ServiceRegistry,
NRF centralizes service discovery,<object> NRF <relationship> centralizes <object> service discovery,NRF,centralizes,ServiceDiscovery,
Control plane security must encompass confidentiality,<object> Control plane security <relationship> must encompass <object> confidentiality.,ControlPlaneSecurity,mustEncompass,Confidentiality,
Control plane security must encompass integrity,<object> Control plane security <relationship> must encompass <object> integrity.,ControlPlaneSecurity,mustEncompass,Integrity,
Control plane security must encompass authentication,<object> Control plane security <relationship> must encompass <object> authentication.,ControlPlaneSecurity,mustEncompass,Authentication,
Control plane security must encompass segmentation,<object> Control plane security <relationship> must encompass <object> segmentation.,ControlPlaneSecurity,mustEncompass,Segmentation,
Control plane security must encompass runtime monitoring,<object> Control plane security <relationship> must encompass <object> runtime monitoring.,ControlPlaneSecurity,mustEncompass,RuntimeMonitoring,
Confidentiality must apply across all NF interfaces,<object> Confidentiality <relationship> must apply across <object> all NF interfaces.,Confidentiality,mustApplyAcross,AllNFInterfaces,
Integrity must apply across all NF interfaces,<object> Integrity <relationship> must apply across <object> all NF interfaces.,Integrity,mustApplyAcross,AllNFInterfaces,
Authentication must apply across all NF interfaces,<object> Authentication <relationship> must apply across <object> all NF interfaces.,Authentication,mustApplyAcross,AllNFInterfaces,
Segmentation must apply across all NF interfaces,<object> Segmentation <relationship> must apply across <object> all NF interfaces.,Segmentation,mustApplyAcross,AllNFInterfaces,
Runtime monitoring must apply across all NF interfaces,<object> Runtime monitoring <relationship> must apply across <object> all NF interfaces.,RuntimeMonitoring,mustApplyAcross,AllNFInterfaces,
AMF manages UE registration,<object> AMF <relationship> manages <object> UE registration.,AMF,manages,UERegistration,
AMF manages mobility,<object> AMF <relationship> manages <object> mobility.,AMF,manages,Mobility,
AMF manages NAS signaling,<object> AMF <relationship> manages <object> NAS signaling.,AMF,manages,NASSignaling,
AMF authenticates UE using NAS,<object> AMF <relationship> authenticates <object> UE using NAS.,AMF,authenticates,UEUsingNAS,
AMF passes session control to SMF,<object> AMF <relationship> passes session control to <object> SMF.,AMF,passesSessionControlTo,SMF,
AMF is a control-plane only.,<object> AMF <relationship> is_a <object> control-plane only.,AMF,isA,ControlPlaneOnly,
AMF redirects UEs to appropriate SMF/UPF combinations,<object> AMF <relationship> redirects UEs to <object> appropriate SMF/UPF combinations,AMF,redirectsUEsTo,AppropriateSMFUPFCombinations,
AMF selects SMF/UPF combinations based on policies,<object> AMF <relationship> selects SMF/UPF combinations based on <object> policies,AMF,selectsSMFUPFCombinationsBasedOn,Policies,
AMF depends on UDM for subscription,<object> AMF <relationship> depends on UDM for <object> subscription,AMF,dependsOnUDMFor,Subscription,
AMF depends on AUSF for authentication,<object> AMF <relationship> depends on AUSF for <object> authentication,AMF,dependsOnAUSFFor,Authentication,
AMF depends on SMF for session setup,<object> AMF <relationship> depends on SMF for <object> session setup,AMF,dependsOnSMFFor,SessionSetup,
AMF uses N1 interface.,<object> AMF <relationship> uses <object> N1 interface.,AMF,uses,N1Interface,
SMF handles PDU session lifecycle,<object> SMF <relationship> handles <object> PDU session lifecycle,SMF,handles,PDUSessionLifecycle,
SMF handles PDU session setup,<object> SMF <relationship> handles <object> PDU session setup,SMF,handles,PDUSessionSetup,
SMF handles PDU session modification,<object> SMF <relationship> handles <object> PDU session modification,SMF,handles,PDUSessionModification,
SMF handles PDU session release,<object> SMF <relationship> handles <object> PDU session release,SMF,handles,PDUSessionRelease,
SMF allocates IP addresses,<object> SMF <relationship> allocates <object> IP addresses,SMF,allocates,IPAddresses,
SMF installs traffic steering rules,<object> SMF <relationship> installs <object> traffic steering rules,SMF,installs,TrafficSteeringRules,
Traffic steering rules installed in UPFs,<object> Traffic steering rules <relationship> installed in <object> UPFs,TrafficSteeringRules,installedIn,UPFs,
SMF enforces QoS,<object> SMF <relationship> enforces <object> QoS,SMF,enforces,QoS,
SMF uses PCF policies to enforce QoS,<object> SMF <relationship> uses PCF policies to enforce <object> QoS,SMF,usesPCFPoliciesToEnforce,QoS,
SMF connects to UPFs,<object> SMF <relationship> connects to <object> UPFs,SMF,connectsTo,UPFs,
SMF–UPF connection uses PFCP,<object> SMF–UPF connection <relationship> uses <object> PFCP,SMFUPFConnection,uses,PFCP,
PFCP is a designed for fast user-plane control,<object> PFCP <relationship> is a designed for <object> fast user-plane control,PFCP,isADesignedFor,FastUserPlaneControl,
SMF uses N11 interface.,<object> SMF <relationship> uses <object> N11 interface.,SMF,uses,N11Interface,
SMF depends on AMF,<object> SMF <relationship> depends on <object> AMF,SMF,dependsOn,AMF,
SMF depends on UPF,<object> SMF <relationship> depends on <object> UPF,SMF,dependsOn,UPF,
SMF depends on PCF,<object> SMF <relationship> depends on <object> PCF,SMF,dependsOn,PCF,
SMF exchanges session context.,<object> SMF <relationship> exchanges <object> session context.,SMF,exchanges,SessionContext,
SMF uses HTTP/2.,<object> SMF <relationship> uses <object> HTTP/2.,SMF,uses,HTTP2,
UPF handles user traffic forwarding,<object> UPF <relationship> handles <object> user traffic forwarding,UPF,handles,UserTrafficForwarding,
UPF handles QoS enforcement,<object> UPF <relationship> handles <object> QoS enforcement,UPF,handles,QoSEnforcement,
UPF forwards traffic between RAN.,<object> UPF forwards traffic <relationship> between <object> RAN.,UPFForwardsTraffic,between,RAN,
UPF forwards traffic between external data networks.,<object> UPF forwards traffic <relationship> between <object> external data networks.,UPFForwardsTraffic,between,ExternalDataNetworks,
UPF supports data buffering.,<object> UPF <relationship> supports <object> data buffering.,UPF,supports,DataBuffering,
Multiple UPFs can be deployed regionally,<object> Multiple UPFs <relationship> can be deployed per <object> region.,MultipleUPFs,canBeDeployedPer,Region,
Multiple UPFs support multi-access edge computing (MEC),<object> Multiple UPFs <relationship> support <object> multi-access edge computing (MEC),MultipleUPFs,support,MultiAccessEdgeComputingMEC,
Multiple UPFs support network slicing,<object> Multiple UPFs <relationship> support <object> network slicing,MultipleUPFs,support,NetworkSlicing,
UPF uses N3 interface.,<object> UPF <relationship> uses <object> N3 interface.,UPF,uses,N3Interface,
UPF depends on SMF,<object> UPF <relationship> depends on <object> SMF.,UPF,dependsOn,SMF,
UPF manages PDU sessions,<object> UPF <relationship> manages <object> PDU sessions.,UPF,manages,PDUSessions,
UPF manages QoS enforcement rules,<object> UPF <relationship> manages <object> QoS enforcement rules.,UPF,manages,QoSEnforcementRules,
UPF uses PFCP.,<object> UPF <relationship> uses <object> PFCP.,UPF,uses,PFCP,
AUSF performs challenge–response procedures,<object> AUSF <relationship> performs <object> challenge–response procedures.,AUSF,performs,ChallengeResponseProcedures,
Challenge–response procedures involve UEs,<object> Challenge–response procedures <relationship> involve <object> UEs.,ChallengeResponseProcedures,involve,UEs,
Challenge–response procedures occur during registration,<object> Challenge–response procedures <relationship> occur during <object> registration.,ChallengeResponseProcedures,occurDuring,Registration,
AUSF is stateless by design,<object> AUSF <relationship> is <object> stateless by design.,AUSF,is,StatelessByDesign,
AUSF uses N12 interface,<object> AUSF <relationship> uses <object> N12 interface.,AUSF,uses,N12Interface,
AUSF depends on UDM,<object> AUSF <relationship> depends on <object> UDM.,AUSF,dependsOn,UDM,
AUSF obtains subscription credentials from UDM,<object> AUSF <relationship> obtains <object> subscription credentials from UDM.,AUSF,obtains,SubscriptionCredentialsFromUDM,
AUSF processes authentication vectors,<object> AUSF <relationship> processes <object> authentication vectors.,AUSF,processes,AuthenticationVectors,
Authentication vectors are part of AUSF data handling,<object> Authentication vectors <relationship> are part of <object> AUSF data handling.,AuthenticationVectors,arePartOf,AUSFDataHandling,
UDM serves as central database,<object> UDM <relationship> serves as <object> central database.,UDM,servesAs,CentralDatabase,
Central database stores subscriber profiles,<object> Central database <relationship> stores <object> subscriber profiles.,CentralDatabase,stores,SubscriberProfiles,
Central database stores policies,<object> Central database <relationship> stores <object> policies.,CentralDatabase,stores,Policies,
UDM provides authentication data to AUSF,<object> UDM <relationship> provides <object> authentication data to AUSF.,UDM,provides,AuthenticationDataToAUSF,
UDM stores SUPI,<object> UDM <relationship> stores <object> SUPI.,UDM,stores,SUPI,
UDM stores subscription profiles,<object> UDM <relationship> stores <object> subscription profiles.,UDM,stores,SubscriptionProfiles,
UDM stores AM Policy Association,<object> UDM <relationship> stores <object> AM Policy Association.,UDM,stores,AMPolicyAssociation,
UDM uses N8 interface,<object> UDM <relationship> uses <object> N8 interface.,UDM,uses,N8Interface,
UDM manages subscription data,<object> UDM <relationship> manages <object> subscription data.,UDM,manages,SubscriptionData,
UDM manages access profiles,<object> UDM <relationship> manages <object> access profiles.,UDM,manages,AccessProfiles,
UDM manages authentication keys,<object> UDM <relationship> manages <object> authentication keys.,UDM,manages,AuthenticationKeys,
UDM may link with HSS,<object> UDM <relationship> may link with <object> HSS.,UDM,mayLinkWith,HSS,
UDM–HSS linking occurs in interworking scenarios,<object> UDM–HSS linking <relationship> occurs in <object> interworking scenarios.,UDMHSSLinking,occursIn,InterworkingScenarios,
UDM–HSS linking provides backward compatibility,<object> UDM–HSS linking <relationship> provides <object> backward compatibility.,UDMHSSLinking,provides,BackwardCompatibility,
PCF provides policy decisions,<object> PCF <relationship> provides <object> policy decisions.,PCF,provides,PolicyDecisions,
PCF enforces subscriber-specific policies,<object> PCF <relationship> enforces <object> subscriber-specific policies.,PCF,enforces,SubscriberSpecificPolicies,
PCF enforces subscriber-specific policies via SMF,<object> PCF <relationship> enforces via <object> SMF.,PCF,enforcesVia,SMF,
PCF works with AF (Application Function),<object> PCF <relationship> works with <object> AF (Application Function).,PCF,worksWith,AFApplicationFunction,
PCF and AF enforce application-level QoS,<object> PCF and AF <relationship> enforce <object> application-level QoS.,PCFAndAF,enforce,ApplicationLevelQoS,
PCF uses N7 interface,<object> PCF <relationship> uses <object> N7 interface.,PCF,uses,N7Interface,
PCF manages policy rules,<object> PCF <relationship> manages <object> policy rules.,PCF,manages,PolicyRules,
PCF manages network slicing information,<object> PCF <relationship> manages <object> network slicing information.,PCF,manages,NetworkSlicingInformation,
PCF manages QoS profiles,<object> PCF <relationship> manages <object> QoS profiles.,PCF,manages,QoSProfiles,
PCF may connect to UDR,<object> PCF <relationship> may connect to <object> UDR.,PCF,mayConnectTo,UDR,
UDR stores policy rules,<object> UDR <relationship> stores <object> policy rules.,UDR,stores,PolicyRules,
NRF provides service discovery,<object> NRF <relationship> provides <object> service discovery.,NRF,provides,ServiceDiscovery,
NRF enables dynamic discovery of NF services,<object> NRF <relationship> enables <object> dynamic discovery of NF services.,NRF,enables,DynamicDiscoveryOfNFServices,
Dynamic discovery of NF services uses API lookup,<object> Dynamic discovery of NF services <relationship> uses <object> API lookup.,DynamicDiscoveryOfNFServices,uses,APILookup,
NRF ensures service-level routing,<object> NRF <relationship> ensures <object> service-level routing.,NRF,ensures,ServiceLevelRouting,
NRF uses Nnrf interface,<object> NRF <relationship> uses <object> Nnrf interface.,NRF,uses,NnrfInterface,
NRF manages NF profiles,<object> NRF <relationship> manages <object> NF profiles.,NRF,manages,NFProfiles,
NRF manages service status,<object> NRF <relationship> manages <object> service status.,NRF,manages,ServiceStatus,
NRF manages availability,<object> NRF <relationship> manages <object> availability.,NRF,manages,Availability,
NRF is a dependency for SBA-based network functions,<object> NRF <relationship> is a dependency for <object> SBA-based network functions.,NRF,isADependencyFor,SBABasedNetworkFunctions,
UDR acts as centralized database backend,<object> UDR <relationship> acts as <object> centralized database backend.,UDR,actsAs,CentralizedDatabaseBackend,
UDR serves as backend for UDM,<object> UDR <relationship> serves as <object> backend for UDM.,UDR,servesAs,BackendForUDM,
UDR serves as backend for PCF,<object> UDR <relationship> serves as <object> backend for PCF.,UDR,servesAs,BackendForPCF,
UDR decouples business logic from persistent storage,<object> UDR <relationship> decouples <object> business logic from persistent storage.,UDR,decouples,BusinessLogicFromPersistentStorage,
Business logic includes UDM,<object> Business logic <relationship> includes <object> UDM.,BusinessLogic,includes,UDM,
UDR improves fault tolerance,<object> UDR <relationship> improves <object> fault tolerance.,UDR,improves,FaultTolerance,
UDR improves scaling,<object> UDR <relationship> improves <object> scaling.,UDR,improves,Scaling,
Fault tolerance applies to data-centric functions,<object> Fault tolerance <relationship> applies to <object> data-centric functions.,FaultTolerance,appliesTo,DataCentricFunctions,
Scaling applies to data-centric functions,<object> Scaling <relationship> applies to <object> data-centric functions.,Scaling,appliesTo,DataCentricFunctions,
UDR uses N5 interface,<object> UDR <relationship> uses <object> N5 interface.,UDR,uses,N5Interface,
UDR manages subscriber data,<object> UDR <relationship> manages <object> subscriber data.,UDR,manages,SubscriberData,
UDR manages policy data,<object> UDR <relationship> manages <object> policy data.,UDR,manages,PolicyData,
UDR manages configuration values,<object> UDR <relationship> manages <object> configuration values.,UDR,manages,ConfigurationValues,
PFCP is a standardized protocol for SMF-to-UPF control,<object> PFCP <relationship> is <object> standardized protocol for SMF-to-UPF control.,PFCP,is,StandardizedProtocolForSMFToUPFControl,
SMF uses PFCP,<object> SMF <relationship> uses <object> PFCP.,SMF,uses,PFCP,
PFCP is fundamental for enabling Control-User Plane Separation (CUPS),<object> PFCP <relationship> is <object> fundamental for enabling Control-User Plane Separation (CUPS).,PFCP,is,FundamentalForEnablingControlUserPlaneSeparationCUPS,
PFCP includes Keepalive mechanism,<object> PFCP <relationship> includes <object> Keepalive mechanism.,PFCP,includes,KeepaliveMechanism,
PFCP enables dynamic session lifecycle control,<object> PFCP <relationship> enables <object> dynamic session lifecycle control.,PFCP,enables,DynamicSessionLifecycleControl,
PFCP sessions maintain stateful associations between SMF,<object> PFCP sessions maintain stateful associations <relationship> between <object> SMF.,PFCPSessionsMaintainStatefulAssociations,between,SMF,
PFCP sessions maintain stateful associations between UPF,<object> PFCP sessions maintain stateful associations <relationship> between <object> UPF.,PFCPSessionsMaintainStatefulAssociations,between,UPF,
PFCP protocol supports heartbeats,<object> PFCP protocol <relationship> supports <object> heartbeats.,PFCPProtocol,supports,Heartbeats,
PFCP allows central management of distributed UPF instances,<object> PFCP <relationship> allows <object> central management of distributed UPF instances.,PFCP,allows,CentralManagementOfDistributedUPFInstances,
Central management of distributed UPF instances is performed by fewer SMF nodes,<object> Central management of distributed UPF instances <relationship> is performed by <object> fewer SMF nodes.,CentralManagementOfDistributedUPFInstances,isPerformedBy,FewerSMFNodes,
Advanced rule types in PFCP include QER,<object> Advanced rule types in PFCP <relationship> include <object> QER.,AdvancedRuleTypesInPFCP,include,QER,
Advanced rule types in PFCP include BAR,<object> Advanced rule types in PFCP <relationship> include <object> BAR.,AdvancedRuleTypesInPFCP,include,BAR,
Advanced rule types in PFCP enable precise QoS enforcement,<object> Advanced rule types in PFCP <relationship> enable <object> precise QoS enforcement.,AdvancedRuleTypesInPFCP,enable,PreciseQoSEnforcement,
Advanced rule types in PFCP enable packet buffering,<object> Advanced rule types in PFCP <relationship> enable <object> packet buffering.,AdvancedRuleTypesInPFCP,enable,PacketBuffering,
Precise QoS enforcement is tailored to per-session policy,<object> Precise QoS enforcement <relationship> is tailored to <object> per-session policy.,PreciseQoSEnforcement,isTailoredTo,PerSessionPolicy,
PFCP supports scalable deployment,<object> PFCP <relationship> supports <object> scalable deployment.,PFCP,supports,ScalableDeployment,
PFCP minimizes control overhead,<object> PFCP <relationship> minimizes <object> control overhead.,PFCP,minimizes,ControlOverhead,
Control overhead is minimized using compact rule structures,<object> Control overhead <relationship> is minimized using <object> compact rule structures.,ControlOverhead,isMinimizedUsing,CompactRuleStructures,
PFCP is specified in 3GPP TS 29.244,<object> PFCP <relationship> is specified in <object> 3GPP TS 29.244.,PFCP,isSpecifiedIn,3GPPTS29244,
SEPP encrypts inter-PLMN control signaling,<object> SEPP <relationship> encrypts <object> inter-PLMN control signaling.,SEPP,encrypts,InterPLMNControlSignaling,
SEPP proxies inter-PLMN control signaling,<object> SEPP <relationship> proxies <object> inter-PLMN control signaling.,SEPP,proxies,InterPLMNControlSignaling,
Inter-PLMN control signaling crosses roaming borders,<object> Inter-PLMN control signaling <relationship> crosses <object> roaming borders.,InterPLMNControlSignaling,crosses,RoamingBorders,
SEPP ensures end-to-end control-plane security,<object> SEPP <relationship> ensures <object> end-to-end control-plane security.,SEPP,ensures,EndToEndControlPlaneSecurity,
SEPP uses TLS/IPsec tunnels,<object> SEPP <relationship> uses <object> TLS/IPsec tunnels.,SEPP,uses,TLSIPsecTunnels,
N3IWF acts as gateway for non-3GPP access,<object> N3IWF <relationship> acts as <object> gateway for non-3GPP access.,N3IWF,actsAs,GatewayForNon3GPPAccess,
Non-3GPP access includes Wi-Fi,<object> Non-3GPP access <relationship> includes <object> Wi-Fi.,Non3GPPAccess,includes,WiFi,
N3IWF uses IKEv2 tunnels,<object> N3IWF <relationship> uses <object> IKEv2 tunnels.,N3IWF,uses,IKEv2Tunnels,
N3IWF bridges Wi-Fi clients to AMF securely,<object> N3IWF <relationship> bridges <object> Wi-Fi clients to AMF securely.,N3IWF,bridges,WiFiClientsToAMFSecurely,
N3IWF-mediated Wi-Fi–AMF connection does not require native RAN,<object> N3IWF-mediated Wi-Fi–AMF connection <relationship> does not require <object> native RAN.,N3IWFMediatedWiFiAMFConnection,doesNotRequire,NativeRAN,
W-AGF is a Wireline Access Gateway Function,<object> W-AGF <relationship> is <object> Wireline Access Gateway Function.,WAGF,is,WirelineAccessGatewayFunction,
W-AGF enables fixed wireless access (FWA),<object> W-AGF <relationship> enables <object> fixed wireless access (FWA).,WAGF,enables,FixedWirelessAccessFWA,
W-AGF enables fixed-line services,<object> W-AGF <relationship> enables <object> fixed-line services.,WAGF,enables,FixedLineServices,
Fixed wireless access (FWA) connects to 5G Core (5GC),<object> Fixed wireless access (FWA) <relationship> connects to <object> 5G Core (5GC).,FixedWirelessAccessFWA,connectsTo,5GCore5GC,
5G core employs Service-Based Architecture (SBA),<object> 5G core <relationship> employs <object> Service-Based Architecture (SBA).,5GCore,employs,ServiceBasedArchitectureSBA,
NFs register services via NRF,<object> NFs <relationship> register services via <object> NRF.,NFs,registerServicesVia,NRF,
NFs discover services via NRF,<object> NFs <relationship> discover services via <object> NRF.,NFs,discoverServicesVia,NRF,
Service registration and discovery via NRF use HTTP/2 + REST,<object> Service registration and discovery via NRF <relationship> use <object> HTTP/2 + REST.,ServiceRegistrationAndDiscoveryViaNRF,use,HTTP2REST,
Service-Based Architecture (SBA) provides modularity,<object> Service-Based Architecture (SBA) <relationship> provides <object> modularity.,ServiceBasedArchitectureSBA,provides,Modularity,
NSA (Non-Standalone) includes 5G NR radio,<object> NSA (Non-Standalone) <relationship> includes <object> 5G NR radio.,NSA,includes,5GNRRadio,
NSA (Non-Standalone) includes 4G EPC core,<object> NSA (Non-Standalone) <relationship> includes <object> 4G EPC core.,NSA,includes,4GEPCCore,
SA (Standalone) uses 5GC,<object> SA (Standalone) <relationship> uses <object> 5GC.,SA,uses,5GC,
Service-Based Architecture (SBA) includes AMF,<object> Service-Based Architecture (SBA) <relationship> includes <object> AMF.,ServiceBasedArchitectureSBA,includes,AMF,
Service-Based Architecture (SBA) includes SMF,<object> Service-Based Architecture (SBA) <relationship> includes <object> SMF.,ServiceBasedArchitectureSBA,includes,SMF,
Service-Based Architecture (SBA) includes UPF,<object> Service-Based Architecture (SBA) <relationship> includes <object> UPF.,ServiceBasedArchitectureSBA,includes,UPF,
Service-Based Architecture (SBA) includes UDM,<object> Service-Based Architecture (SBA) <relationship> includes <object> UDM.,ServiceBasedArchitectureSBA,includes,UDM,
Service-Based Architecture (SBA) includes PCF,<object> Service-Based Architecture (SBA) <relationship> includes <object> PCF.,ServiceBasedArchitectureSBA,includes,PCF,
Service-Based Architecture (SBA) includes SEPP,<object> Service-Based Architecture (SBA) <relationship> includes <object> SEPP.,ServiceBasedArchitectureSBA,includes,SEPP,
Service-Based Architecture (SBA) includes N3IWF,<object> Service-Based Architecture (SBA) <relationship> includes <object> N3IWF.,ServiceBasedArchitectureSBA,includes,N3IWF,
