Source,Summary sentence,Factoids
,AUSF performs challenge–response procedures with UEs during registration.,"""AUSF performs challenge–response procedures"",
""Challenge–response procedures involve UEs"",
""Challenge–response procedures occur during registration"""
,"AUSF is stateless by design and uses UDM to obtain authentication data (e.g., K, OPc, SQN).","""AUSF is stateless by design"",
""AUSF uses UDM"",
""AUSF obtains authentication data from UDM"",
""Authentication data includes K"",
""Authentication data includes OPc"",
""Authentication data includes SQN"""
,AUSF uses the following interfaces: N12 (AMF-AUSF) and N13 (AUSF-UDM).,"""AUSF uses N12 interface"",
""N12 interface connects AMF and AUSF"",
""AUSF uses N13 interface"",
""N13 interface connects AUSF and UDM"""
,AUSF is dependent on UDM for subscription credentials.,"""AUSF depends on UDM"",
""AUSF obtains subscription credentials from UDM"""
,AUSF processes authentication vectors as part of its data handling.,"""AUSF processes authentication vectors"",
""Authentication vectors are part of AUSF data handling"""
,UDM serves as the central database for subscriber profiles and policies.,"""UDM serves as central database"",
""Central database stores subscriber profiles"",
""Central database stores policies"""
,UDM provides authentication data to AUSF and access policies to AMF.,"""UDM provides authentication data to AUSF"",
""UDM provides access policies to AMF"""
,"UDM stores SUPI, subscription profiles, and AM Policy Association.","""UDM stores SUPI"",
""UDM stores subscription profiles""
UDM stores AM Policy Association"
,"UDM uses the following interfaces: N8 (UDM-AMF), N10 (UDM-SMF), N13 (UDM-AUSF).","""UDM uses N8 interface"",
""N8 interface connects UDM and AMF"",
""UDM uses N10 interface"",
""N10 interface connects UDM and SMF"",
""UDM uses N13 interface"",
""N13 interface connects UDM and AUSF"""
,"UDM manages data including subscription data, access profiles, and authentication keys.","""UDM manages subscription data"",
""UDM manages access profiles"",
""UDM manages authentication keys"""
,UDM may link with the HSS in interworking scenarios for backward compatibility.,"""UDM may link with HSS"",
""UDM–HSS linking occurs in interworking scenarios"",
""UDM–HSS linking provides backward compatibility"""
,PCF provides policy decisions such as QoS and charging to other network functions.,"""PCF provides policy decisions"",
""PCF provides policy decisions to other network functions"",
""Policy decisions include QoS"",
""Policy decisions include charging"""
,PCF enforces subscriber-specific policies via SMF and AMF.,"""PCF enforces subscriber-specific policies"",
""PCF enforces *subscriber-specific policies via SMF"",
""PCF enforces *subscriber-specific policies via AMF"""
,PCF works with AF (Application Function) to enforce application-level QoS.,"""PCF works with AF (Application Function)"",
""PCF and AF (Application Function) enforce application-level QoS"""
,PCF uses the following interfaces: N7 (PCF-SMF) and N15 (PCF-AMF).,"""PCF uses N7 interface"",
""N7 interface connects PCF and SMF"",
""PCF uses N15 interface"",
""N15 interface connects PCF and AMF"""
,"PCF manages data including policy rules, network slicing information, and QoS profiles.","""PCF manages policy rules"",
""PCF manages network slicing information"",
""PCF manages QoS profiles"""
,PCF may connect to UDR for policy rule storage.,"""PCF may connect to UDR"",
""UDR stores policy rules"""
,NRF provides service discovery and registration for the Service-Based Architecture (SBA).,"""NRF provides service discovery"",
""NRF provides registration"",
""Service-Based Architecture (SBA) relies on NRF"""
,NRF enables dynamic discovery of NF services using API lookup.,"""NRF enables dynamic discovery of NF services"",
""Dynamic discovery of NF services uses API lookup"""
,NRF ensures service-level routing and load-aware NF selection.,"""NRF ensures service-level routing"",
""NRF ensures load-aware NF selection"""
,NRF uses the Nnrf interface (NF-NRF) over HTTP/2.,"""NRF uses Nnrf interface"",
""Nnrf interface connects network functions (NFs) and NRF"",
""Nnrf interface runs over HTTP/2"""
,"NRF manages data such as NF profiles, service status, and availability.","""NRF manages NF profiles"",
""NRF manages service status"",
""NRF manages availability"""
,NRF is a dependency for all SBA-based network functions.,"""NRF is a dependency for SBA-based network functions"""
,UDR acts as a centralized database backend for UDM and PCF.,"""UDR acts as centralized database backend"",
""UDR serves as backend for UDM"",
""UDR serves as backend for PCF"""
,UDR decouples business logic (UDM/PCF) from persistent storage.,"""UDR decouples business logic from persistent storage"",
""Business logic includes UDM"",
""Business logic includes PCF"""
,UDR improves fault tolerance and scaling of data-centric functions.,"""UDR improves fault tolerance"",
""UDR improves scaling"",
""Fault tolerance applies to data-centric functions"",
""Scaling applies to data-centric functions"""
,UDR uses the N5 interface (UDM/PCF-UDR).,"""UDR uses N5 interface"",
""N5 interface connects UDM and UDR"",
""N5 interface connects PCF and UDR"""
,"UDR manages data such as subscriber data, policy data, and configuration values.","""UDR manages subscriber data"",
""UDR manages policy data"",
""UDR manages configuration values"""
,"PFCP is the standardized protocol for SMF-to-UPF control, operating over UDP at the N4 and Sx reference points.","""PFCP is standardized protocol for SMF-to-UPF control"",
""PFCP operates over UDP"",
""PFCP operates at N4 reference point"",
""PFCP operates at Sx reference point"",
""SMF-to-UPF control uses PFCP""
"
,SMF uses PFCP to install PFDs and FARs in UPF to govern user data forwarding rules.,"""SMF uses PFCP"",
""SMF installs PFDs in UPF"",
""SMF installs FARs in UPF"",
""PFDs govern user data forwarding rules"",
""FARs govern user data forwarding rules"""
,PFCP is fundamental for enabling Control-User Plane Separation (CUPS) in 5G core.,"""PFCP is fundamental for enabling Control-User Plane Separation (CUPS)"",
""Control-User Plane Separation (CUPS) is applied in 5G core"""
,"PFCP includes mechanisms like Keepalive, Session, QER, and BAR to manage forwarding and buffering.","""PFCP includes Keepalive mechanism"",
""PFCP includes Session mechanism"",
""PFCP includes QER mechanism"",
""PFCP includes BAR mechanism"",
""Keepalive mechanism manages forwarding"",
""Keepalive mechanism manages buffering"",
""Session mechanism manages forwarding"",
""Session mechanism manages buffering"",
""QER mechanism manages forwarding"",
""QER mechanism manages buffering"",
""BAR mechanism manages forwarding"",
""BAR mechanism manages buffering"""
,"PFCP enables dynamic session lifecycle control by allowing SMF to initiate, modify, or tear down UPF forwarding behavior in real time.","""PFCP enables dynamic session lifecycle control"",
""PFCP allows SMF to initiate UPF forwarding behavior in real time"",
""PFCP allows SMF to modify UPF forwarding behavior in real time"",
""PFCP allows SMF to tear down UPF forwarding behavior in real time"""
,"Through rule-based provisioning, PFCP allows SMF to granularly instruct UPF on how to classify, buffer, or prioritize specific traffic flows.","""SMF uses PFCP"",
""SMF instructs UPF"", 
""UPF classifies Specific Traffic Flows"",
""UPF buffers Specific Traffic Flows"",
""UPF prioritizes Specific Traffic Flows"""
,"PFCP sessions maintain stateful associations between SMF and UPF, ensuring coherent control across multiple user sessions.","""PFCP sessions maintain stateful associations between SMF and UPF"",
""Stateful associations between SMF and UPF ensure coherent control across multiple user sessions"""
,The PFCP protocol supports heartbeats and recovery procedures to detect failure conditions and maintain high-availability pathways.,"""PFCP protocol supports heartbeats"",
""PFCP protocol supports recovery procedures"",
""Heartbeats detect failure conditions"",
""Recovery procedures detect failure conditions"",
""Heartbeats maintain high-availability pathways"",
""Recovery procedures maintain high-availability pathways""
"
,"By separating control and data responsibilities, PFCP allows distributed UPF instances to be managed centrally by fewer SMF nodes.","""PFCP allows central management of distributed UPF instances"",
""Central management of distributed UPF instances is performed by fewer SMF nodes"""
,"Advanced rule types in PFCP such as QER and BAR enable precise QoS enforcement and packet buffering, tailored to per-session policy.","""Advanced rule types in PFCP include QER"",
""Advanced rule types in PFCP include BAR"",
""Advanced rule types in PFCP enable precise QoS enforcement"",
""Advanced rule types in PFCP enable packet buffering"",
""Precise QoS enforcement is tailored to per-session policy"",
""Packet buffering is tailored to per-session policy"""
,PFCP supports scalable deployment by minimizing control overhead using compact rule structures and stateless UDP transport.,"""PFCP supports scalable deployment"",
""PFCP minimizes control overhead"",
""Control overhead is minimized using compact rule structures"",
""Control overhead is minimized using stateless UDP transport"""
,PFCP is specified in 3GPP TS 29.244 and relies on UDP transport for control messaging.,"""PFCP is specified in 3GPP TS 29.244"",
""PFCP relies on UDP transport"",
""UDP transport carries control messaging"""
,SEPP encrypts and proxies inter-PLMN control signaling across roaming borders.,"""SEPP encrypts inter-PLMN control signaling"",
""SEPP proxies inter-PLMN control signaling"",
""Inter-PLMN control signaling crosses roaming borders"""
,SEPP ensures end-to-end control-plane security via TLS/IPsec tunnels.,"""SEPP ensures end-to-end control-plane security"",
""SEPP uses TLS/IPsec tunnels"",
""TLS/IPsec tunnels provide end-to-end control-plane security"""
,"N3IWF acts as a gateway for non-3GPP access, such as Wi-Fi, using IKEv2 tunnels.","""N3IWF acts as gateway for non-3GPP access"",
""Non-3GPP access includes Wi-Fi"",
""N3IWF uses IKEv2 tunnels"""
,"N3IWF bridges Wi-Fi clients to the AMF securely, without requiring native RAN.","""N3IWF bridges Wi-Fi clients to AMF securely"",
""N3IWF-mediated Wi-Fi–AMF connection does not require native RAN"""
,W-AGF is the Wireline Access Gateway Function used for fixed/mobile network convergence.,"""W-AGF is Wireline Access Gateway Function"",
""Wireline Access Gateway Function is used for fixed/mobile network convergence"""
,W-AGF enables fixed wireless access (FWA) and fixed-line services to connect to the 5G Core (5GC).,"""W-AGF enables fixed wireless access (FWA)"",
""W-AGF enables fixed-line services"",
""Fixed wireless access (FWA) connects to 5G Core (5GC)"",
""Fixed-line services connect to 5G Core (5GC)"""
,"5G core employs SBA where NFs like AMF, SMF, UPF register/discover services via NRF using HTTP/2 + REST.","""5G core employs Service-Based Architecture (SBA)"",
""NFs register services via NRF"",
""NFs discover services via NRF"",
""Service registration/discovery via NRF uses HTTP/2 + REST"""
,"SBA provides modularity, enabling dynamic NF registration and vendor interoperability.","""Service-Based Architecture (SBA) provides modularity"",
""Modularity enables dynamic NF registration"",
""Modularity enables vendor interoperability"""
,"NSA combines 5G NR radio with 4G EPC core, while true SA uses 5GC supporting slicing, URLLC, mMTC.","""NSA (Non-Standalone architecture) includes 5G NR radio"",
""NSA (Non-Standalone architecture) includes 4G EPC core"",
""SA (Standalone architecture) uses 5GC"",
""5GC supports network slicing"",
""5GC supports URLLC"",
""5GC supports mMTC"""
,"Standard SBA NFs include AMF, SMF, UPF, UDM, PCF; also roaming entities SEPP, N3IWF, W-AGF.","""Service-Based Architecture (SBA) includes AMF"",
""Service-Based Architecture (SBA) includes SMF"",
""Service-Based Architecture (SBA) includes UPF"",
""Service-Based Architecture (SBA) includes UDM"",
""Service-Based Architecture (SBA) includes PCF"",
""Service-Based Architecture (SBA) includes SEPP"",
""Service-Based Architecture (SBA) includes N3IWF"",
""Service-Based Architecture (SBA) includes W-AGF"",
""SEPP is a roaming entity"",
""N3IWF is a roaming entity"",
""W-AGF is a roaming entity"""
,"AMF can operate statelessly by externalizing UE context to a Unified Data Storage Function (UDSF), enhancing horizontal scalability.","""AMF can operate statelessly"",
""AMF externalizes UE context to Unified Data Storage Function (UDSF)"",
""Externalizing UE context to UDSF enhances horizontal scalability"""
,"SMF uses the N7 interface to retrieve policy decisions from PCF, enabling differentiated handling per session.","""SMF uses N7 interface"",
""SMF retrieves policy decisions from PCF"",
""Policy decisions enable differentiated per-session handling"""
,UPF maintains stateful session information to perform precise flow routing and per-user QoS enforcement.,"""UPF maintains stateful session information"",
""Stateful session information enables precise flow routing"",
""Stateful session information enables per-user QoS enforcement"""
,NRF supports load-aware NF instance selection by maintaining up-to-date service availability data.,"""NRF supports load-aware NF instance selection"",
""NRF maintains up-to-date service availability data"",
""Maintaining up-to-date service availability data enables load-aware NF instance selection"""
,AUSF leverages HTTP/2 interfaces to securely interact with UDM for retrieving authentication keys and vectors.,"""AUSF leverages HTTP/2 interfaces"",
""AUSF securely interacts with UDM"",
""Secure interaction with UDM retrieves authentication keys and vectors"""
,"UDM is a stateful front-end to subscriber data, often backed by UDR for persistence and redundancy.","""UDM is stateful front-end to subscriber data"",
""UDM is backed by UDR"",
""UDR provides persistence"",
""UDR provides redundancy"""
,"UDR acts as a persistent, central repository supporting both subscriber data (UDM) and policy data (PCF), facilitating decoupling.","""UDR acts as persistent central repository"",
""UDR supports subscriber data for UDM"",
""UDR supports policy data for PCF"",
""UDR’s support for subscriber and policy data facilitates decoupling"""
,"PCF is inherently stateless and offloads data persistence to UDR, allowing lightweight and scalable deployment.","""PCF is inherently stateless"",
""PCF offloads data persistence to UDR"",
""Offloading data persistence to UDR allows lightweight deployment"",
""Offloading data persistence to UDR allows scalable deployment"""
,NSSF enables network slicing by selecting appropriate slice instances based on policies and UE subscription data.,"""NSSF enables network slicing"",
""NSSF selects slice instances"",
""Slice instance selection is based on policies"",
""Slice instance selection is based on UE subscription data"""
,"SEPP enforces inter-PLMN security by encrypting control-plane messages using TLS/IPsec tunnels, while hiding internal NF topology.","""SEPP enforces inter-PLMN security"",
""SliceSEPP encrypts control-plane messages"",
""SEPP uses TLS/IPsec tunnels"",
""SEPP hides internal NF topology"""
,"N3IWF provides secure IPsec tunnels over Wi-Fi, allowing non-3GPP devices to attach directly to the 5G core via AMF.","""N3IWF provides secure IPsec tunnels"",
""Secure IPsec tunnels operate over Wi-Fi"",
""N3IWF allows non-3GPP devices to attach directly to 5G core"",
""AMF facilitates non-3GPP device attachment to 5G core"""
,"SBA enables all control-plane NFs to expose RESTful APIs over HTTP/2, facilitating microservice-based orchestration and interop.","""Service-Based Architecture (SBA) enables control-plane NFs to expose RESTful APIs"",
""Control-plane NFs expose RESTful APIs over HTTP/2"",
""Exposing RESTful APIs over HTTP/2 facilitates microservice-based orchestration"",
""Exposing RESTful APIs over HTTP/2 facilitates interoperability""
"
,"The choice between stateful and stateless NF design impacts how context is managed, with stateless NFs enabling container-based scaling.","""Stateful NF design impacts context management"",
""Stateless NF design impacts context management"",
""Stateless NF design enables container-based scaling"""
,"Stateless core NFs like AMF and SMF require external state repositories (e.g., UDSF, UDR) to restore context during horizontal scaling or failure recovery.","""Stateless core NFs require external state repositories"",
""AMF requires external state repositories"",
""SMF requires external state repositories"",
""External state repositories include UDSF"",
""External state repositories include UDR"",
""External state repositories restore context during horizontal scaling"",
""External state repositories restore context during failure recovery"""
,NRF and NSSF are stateless; AMF and SMF are stateful and store UE context in UDSF.,"""NRF is stateless"",
""NSSF is stateless"",
""AMF is stateful"",
""AMF stores UE context in UDSF"",
""SMF is stateful"",
""SMF stores UE context in UDSF"""
,UDSF functions as a shared key-value store holding UE session context and security credentials.,"""UDSF functions as shared key-value store"",
""Shared key-value store holds UE session context"",
""Shared key-value store holds security credentials"""
,Container-based stateless deployment enables robust horizontal scaling and failure resilience.,"""Container-based stateless deployment enables robust horizontal scaling"",
""Container-based stateless deployment enables failure resilience"""
,Stateless architecture maintains 3GPP compliance by preserving standard SBI interfaces and requiring only new UDSF endpoints.,"""Stateless architecture maintains 3GPP compliance"",
""Stateless architecture preserves standard SBI interfaces"",
""Stateless architecture requires only new UDSF endpoints"""
,Stateful NFs like AMF and SMF can offload internal memory to UDSF to become externally state-managed without altering logical behavior.,"""AMF offloads internal memory to UDSF"",
""SMF offloads internal memory to UDSF"",
""Offloading internal memory to UDSF enables externally state-managed operation"",
""Externally state-managed AMF and SMF do not alter logical behavior"""
,"UDSF is optimized for UE-specific metadata such as SUPI, session state, and NAS keys, supporting fine-grained key-value access.","""UDSF is optimized for UE-specific metadata"",
""UE-specific metadata includes SUPI"",
""UE-specific metadata includes session state"",
""UE-specific metadata includes NAS keys"",
""UDSF supports fine-grained key-value access"""
,"Proactive state push allows AMF to transmit UE context to dependent NFs before they are involved in a procedure, enabling smoother control plane flow.","""Proactive state push allows AMF to transmit UE context"",
""AMF transmits UE context to dependent NFs"",
""Transmitting UE context to dependent NFs before procedure involvement enables smoother control-plane flow"""
,Stateless NF deployment reduces the operational burden of state synchronization across instances during autoscaling or rolling updates.,"""Stateless NF deployment reduces operational burden of state synchronization across instances"",
""Operational burden of state synchronization occurs during autoscaling"",
""Operational burden of state synchronization occurs during rolling updates"""
,Kubernetes-based control plane orchestration benefits from stateless NF design by enabling auto-replacement of crashed pods without state loss.,"""Kubernetes-based control plane orchestration benefits from stateless NF design"",
""Stateless NF design enables auto-replacement of crashed pods"",
""Auto-replacement of crashed pods occurs without state loss"""
,"No changes to 3GPP signaling protocols (e.g., NAS, NGAP) are required to adopt stateless control—only the UDSF interface and optional push hooks are added.","""Stateless control requires no changes to 3GPP signaling protocols (NAS, NGAP)"",
""Stateless control adds UDSF interface"",
""Stateless control adds optional push hooks""
"
