node_id,parent_id,label,uri
n00035,n01506,5GURLLCTargets,http://example.org/telecom#5GURLLCTargets
n00036,n01506,5QIAndSNSSAI,http://example.org/telecom#5QIAndSNSSAI
n00037,n01205,ACMPlacementRules,http://example.org/telecom#ACMPlacementRules
n00038,n01060,AFApplicationFunction,http://example.org/telecom#AFApplicationFunction
n00039,n01060,AMF,http://example.org/telecom#AMF
n00040,n01060,AMFAccessToAuthenticationData,http://example.org/telecom#AMFAccessToAuthenticationData
n00041,n01060,AMFAccessToSubscriberAndAuthenticationData,http://example.org/telecom#AMFAccessToSubscriberAndAuthenticationData
n00042,n01060,AMFAccessToSubscriberData,http://example.org/telecom#AMFAccessToSubscriberData
n00043,n01060,AMFAndSMF,http://example.org/telecom#AMFAndSMF
n00044,n01060,AMFService,http://example.org/telecom#AMFService
n00045,n01060,AMFToAMFCommunication,http://example.org/telecom#AMFToAMFCommunication
n00046,n01060,AMFToForwardAuthenticationRequestsToAUSF,http://example.org/telecom#AMFToForwardAuthenticationRequestsToAUSF
n00047,n01060,AMFToTransmitUEContext,http://example.org/telecom#AMFToTransmitUEContext
n00048,n01217,AMPolicyAssociation,http://example.org/telecom#AMPolicyAssociation
n00049,n00753,API,http://example.org/telecom#API
n00050,n00049,APILookup,http://example.org/telecom#APILookup
n00051,n00273,APIsBetweenControlPlaneCNFsInSBA,http://example.org/telecom#APIsBetweenControlPlaneCNFsInSBA
n00052,n00228,APNModified,http://example.org/telecom#APNModified
n00053,n01594,ARVRServiceRequirements,http://example.org/telecom#ARVRServiceRequirements
n00054,n01594,ATSSS,http://example.org/telecom#ATSSS
n00055,n01060,AUSF,http://example.org/telecom#AUSF
n00056,n01060,AUSFAndUDM,http://example.org/telecom#AUSFAndUDM
n00057,n01060,AUSFDataHandling,http://example.org/telecom#AUSFDataHandling
n00058,n00228,AV,http://example.org/telecom#AV
n00059,n01485,AccessAgnosticAuthentication,http://example.org/telecom#AccessAgnosticAuthentication
n00060,n00273,AccessControl,http://example.org/telecom#AccessControl
n00061,n01217,AccessLayer,http://example.org/telecom#AccessLayer
n00062,n01055,AccessNetwork,http://example.org/telecom#AccessNetwork
n00063,n00228,AccessProfiles,http://example.org/telecom#AccessProfiles
n00064,n01506,AccessToExternalServices,http://example.org/telecom#AccessToExternalServices
n00065,n01506,AccessToSliceSpecificNetworks,http://example.org/telecom#AccessToSliceSpecificNetworks
n00066,n01506,AccessTraffic,http://example.org/telecom#AccessTraffic
n00067,n00228,Activate,http://example.org/telecom#Activate
n00068,n01594,ActivePDPContexts,http://example.org/telecom#ActivePDPContexts
n00069,n01594,ActiveSessionCounts,http://example.org/telecom#ActiveSessionCounts
n00070,n01060,ActiveUPF,http://example.org/telecom#ActiveUPF
n00071,n01506,AdaptiveSliceIsolation,http://example.org/telecom#AdaptiveSliceIsolation
n00072,n00073,AddressUniqueness,http://example.org/telecom#AddressUniqueness
n00073,n00074,Addressing,http://example.org/telecom#Addressing
n00074,n00228,AddressingConcept,http://example.org/telecom#AddressingConcept
n00075,n01224,AdvancedRuleTypesInPFCP,http://example.org/telecom#AdvancedRuleTypesInPFCP
n00076,n01594,AlignedServiceRequirements,http://example.org/telecom#AlignedServiceRequirements
n00077,n01060,AllNFInterfaces,http://example.org/telecom#AllNFInterfaces
n00078,n00049,AllSBAAPIs,http://example.org/telecom#AllSBAAPIs
n00079,n00073,AllocatingOptimalAddressRangesPerNFService,http://example.org/telecom#AllocatingOptimalAddressRangesPerNFService
n00080,n00073,AlternateCredentials,http://example.org/telecom#AlternateCredentials
n00081,n01266,AnHTTPServer,http://example.org/telecom#AnHTTPServer
n00082,n00083,Analytics,http://example.org/telecom#Analytics
n00083,n00228,AnalyticsConcept,http://example.org/telecom#AnalyticsConcept
n00084,n00082,AnalyticsFunctions,http://example.org/telecom#AnalyticsFunctions
n00085,n01485,AnchoringSecurityKeyKSEAF,http://example.org/telecom#AnchoringSecurityKeyKSEAF
n00086,n00082,AnomalyDetection,http://example.org/telecom#AnomalyDetection
n00087,n00082,AnomalyDetectionModules,http://example.org/telecom#AnomalyDetectionModules
n00088,n00228,AnthosGDC,http://example.org/telecom#AnthosGDC
n00089,n01133,ApplicationAwareOrchestration,http://example.org/telecom#ApplicationAwareOrchestration
n00090,n00228,ApplicationContext,http://example.org/telecom#ApplicationContext
n00091,n01594,ApplicationContexts,http://example.org/telecom#ApplicationContexts
n00092,n01060,ApplicationFunctionsAF,http://example.org/telecom#ApplicationFunctionsAF
n00093,n00228,ApplicationLevelQoS,http://example.org/telecom#ApplicationLevelQoS
n00094,n00228,ApplicationSpecificFlowDetection,http://example.org/telecom#ApplicationSpecificFlowDetection
n00095,n01224,ApplyingPDRsAndQoSRules,http://example.org/telecom#ApplyingPDRsAndQoSRules
n00096,n01838,AppropriateSMFUPFCombinations,http://example.org/telecom#AppropriateSMFUPFCombinations
n00097,n01737,Approx100MsTransportDelay,http://example.org/telecom#Approx100MsTransportDelay
n00098,n00228,Approx4xReductionComparedToLTE,http://example.org/telecom#Approx4xReductionComparedToLTE
n00099,n00771,ArchitectingPacketProcessingPipelinesForLowJitterAndDeterministicBehavior,http://example.org/telecom#ArchitectingPacketProcessingPipelinesForLowJitterAndDeterministicBehavior
n00100,n01838,ArchitecturallyIsolatedFromUserPlane,http://example.org/telecom#ArchitecturallyIsolatedFromUserPlane
n00101,n00228,AreaCoverage,http://example.org/telecom#AreaCoverage
n00102,n01506,AsynchronousStateAccess,http://example.org/telecom#AsynchronousStateAccess
n00103,n01594,AttributeDomains,http://example.org/telecom#AttributeDomains
n00104,n01485,Authentication,http://example.org/telecom#Authentication
n00105,n01060,AuthenticationDataToAUSF,http://example.org/telecom#AuthenticationDataToAUSF
n00106,n01485,AuthenticationExchanges,http://example.org/telecom#AuthenticationExchanges
n00107,n01485,AuthenticationKeys,http://example.org/telecom#AuthenticationKeys
n00108,n01485,AuthenticationKeysAndVectors,http://example.org/telecom#AuthenticationKeysAndVectors
n00109,n01485,AuthenticationVectors,http://example.org/telecom#AuthenticationVectors
n00110,n01060,AuthenticationVectorsFromUDM,http://example.org/telecom#AuthenticationVectorsFromUDM
n00111,n01485,AuthenticationViaAKAFramework,http://example.org/telecom#AuthenticationViaAKAFramework
n00112,n00161,AutoReplacementOfCrashedPods,http://example.org/telecom#AutoReplacementOfCrashedPods
n00113,n00228,AutoScalingModules,http://example.org/telecom#AutoScalingModules
n00114,n00161,AutomatedDeployment,http://example.org/telecom#AutomatedDeployment
n00115,n00910,AutomatedIPAMSystemsWithMonitoring,http://example.org/telecom#AutomatedIPAMSystemsWithMonitoring
n00116,n00910,AutomatingObservability,http://example.org/telecom#AutomatingObservability
n00117,n00228,AutonomousVehicles,http://example.org/telecom#AutonomousVehicles
n00118,n00228,Autoscaling,http://example.org/telecom#Autoscaling
n00119,n01358,Availability,http://example.org/telecom#Availability
n00120,n00119,AvailabilityOverConfidentiality,http://example.org/telecom#AvailabilityOverConfidentiality
n00121,n00359,AverageAndDistributionOfN3RoundTripDelayPerDSCP,http://example.org/telecom#AverageAndDistributionOfN3RoundTripDelayPerDSCP
n00122,n01330,AverageRttPerDSCPOnN3,http://example.org/telecom#AverageRttPerDSCPOnN3
n00123,n01594,AvoidingReRegistrationDuringFailover,http://example.org/telecom#AvoidingReRegistrationDuringFailover
n00124,n00228,BAR,http://example.org/telecom#BAR
n00125,n00228,BIOSTuning,http://example.org/telecom#BIOSTuning
n00126,n01060,BackendForPCF,http://example.org/telecom#BackendForPCF
n00127,n01060,BackendForUDM,http://example.org/telecom#BackendForUDM
n00128,n01737,Backhaul,http://example.org/telecom#Backhaul
n00129,n01737,BackhaulDependencies,http://example.org/telecom#BackhaulDependencies
n00130,n00228,BackwardCompatibility,http://example.org/telecom#BackwardCompatibility
n00131,n01717,BalancedObjectives,http://example.org/telecom#BalancedObjectives
n00132,n01291,Bandwidth,http://example.org/telecom#Bandwidth
n00133,n00132,BandwidthAllocation,http://example.org/telecom#BandwidthAllocation
n00134,n01205,BaselineSchedulers,http://example.org/telecom#BaselineSchedulers
n00135,n01056,BasicNetworkSlicing,http://example.org/telecom#BasicNetworkSlicing
n00136,n01387,BatchedStateResponseArrivals,http://example.org/telecom#BatchedStateResponseArrivals
n00137,n00228,BestPath,http://example.org/telecom#BestPath
n00138,n00228,Bidirectional,http://example.org/telecom#Bidirectional
n00139,n00197,BillingCosts,http://example.org/telecom#BillingCosts
n00140,n01205,BinPacking,http://example.org/telecom#BinPacking
n00141,n01266,BindingMetricsHTTPServersToHostIPs,http://example.org/telecom#BindingMetricsHTTPServersToHostIPs
n00142,n01291,Bitrate,http://example.org/telecom#Bitrate
n00143,n01708,BlockErrorRatesDownTo1eMinus9,http://example.org/telecom#BlockErrorRatesDownTo1eMinus9
n00144,n00771,BoundedJitterForURLLC,http://example.org/telecom#BoundedJitterForURLLC
n00145,n01313,Branching,http://example.org/telecom#Branching
n00146,n01313,BranchingViaN9,http://example.org/telecom#BranchingViaN9
n00147,n00228,Buffering,http://example.org/telecom#Buffering
n00148,n00910,BuildingOpen5GSWithThePrometheusBackend,http://example.org/telecom#BuildingOpen5GSWithThePrometheusBackend
n00149,n00062,BuildingTheGNBModule,http://example.org/telecom#BuildingTheGNBModule
n00150,n01208,BusinessBundles,http://example.org/telecom#BusinessBundles
n00151,n01594,BusinessLevelIntents,http://example.org/telecom#BusinessLevelIntents
n00152,n01208,BusinessLogic,http://example.org/telecom#BusinessLogic
n00153,n01594,BusinessLogicFromPersistentStorage,http://example.org/telecom#BusinessLogicFromPersistentStorage
n00154,n01506,BypassingSliceDataRateLimits,http://example.org/telecom#BypassingSliceDataRateLimits
n00155,n01838,CGroupsAndRTKernel,http://example.org/telecom#CGroupsAndRTKernel
n00156,n00855,CICDLifecycleModels,http://example.org/telecom#CICDLifecycleModels
n00157,n00228,CLAT,http://example.org/telecom#CLAT
n00158,n01594,CLIAndPythonScripts,http://example.org/telecom#CLIAndPythonScripts
n00159,n00228,CMake,http://example.org/telecom#CMake
n00160,n00228,CNFConcept,http://example.org/telecom#CNFConcept
n00161,n00160,CNFDesign,http://example.org/telecom#CNFDesign
n00162,n01060,CNFs,http://example.org/telecom#CNFs
n00163,n01060,CNFsAreDeployedToAppropriateClusters,http://example.org/telecom#CNFsAreDeployedToAppropriateClusters
n00164,n01387,CPUSpikesOnceStateResponsesAreProcessed,http://example.org/telecom#CPUSpikesOnceStateResponsesAreProcessed
n00165,n00228,CSPs,http://example.org/telecom#CSPs
n00166,n01060,CSPsToHost5GCNFsOnSharedInfrastructure,http://example.org/telecom#CSPsToHost5GCNFsOnSharedInfrastructure
n00167,n00273,CUCP,http://example.org/telecom#CUCP
n00168,n00273,CUCPCentralization,http://example.org/telecom#CUCPCentralization
n00169,n00273,CUCPFromCUUP,http://example.org/telecom#CUCPFromCUUP
n00170,n01838,CUPS,http://example.org/telecom#CUPS
n00171,n00365,CUPSArchitecture,http://example.org/telecom#CUPSArchitecture
n00172,n01060,CUPSBasedUserPlaneNFIn5GC,http://example.org/telecom#CUPSBasedUserPlaneNFIn5GC
n00173,n00365,CUPSDesign,http://example.org/telecom#CUPSDesign
n00174,n00340,CUPSModel,http://example.org/telecom#CUPSModel
n00175,n01838,CUPSPrinciple,http://example.org/telecom#CUPSPrinciple
n00176,n00446,CUUPAtTheEdge,http://example.org/telecom#CUUPAtTheEdge
n00177,n00446,CUUPEdgeDeployment,http://example.org/telecom#CUUPEdgeDeployment
n00178,n01594,CachingStateAtWellDefinedCheckpoints,http://example.org/telecom#CachingStateAtWellDefinedCheckpoints
n00179,n01838,CascadingOfUPFs,http://example.org/telecom#CascadingOfUPFs
n00180,n01208,CentralDatabase,http://example.org/telecom#CentralDatabase
n00181,n01060,CentralManagementOfDistributedUPFInstances,http://example.org/telecom#CentralManagementOfDistributedUPFInstances
n00182,n01217,CentralPolicy,http://example.org/telecom#CentralPolicy
n00183,n00161,CentralToOperatorInteroperability,http://example.org/telecom#CentralToOperatorInteroperability
n00184,n00210,CentralizedCloudRegions,http://example.org/telecom#CentralizedCloudRegions
n00185,n01208,CentralizedDatabaseBackend,http://example.org/telecom#CentralizedDatabaseBackend
n00186,n01058,CentralizedNonRelationalKeyValueStore,http://example.org/telecom#CentralizedNonRelationalKeyValueStore
n00187,n01217,CentralizedPolicyEnforcement,http://example.org/telecom#CentralizedPolicyEnforcement
n00188,n01594,CentralizedProgrammability,http://example.org/telecom#CentralizedProgrammability
n00189,n01708,CentralizedStateStorageStrategies,http://example.org/telecom#CentralizedStateStorageStrategies
n00190,n01485,CertificateBasedEAPTLS,http://example.org/telecom#CertificateBasedEAPTLS
n00191,n01485,CertificateBasedEAPTLSEAPTTLS,http://example.org/telecom#CertificateBasedEAPTLSEAPTTLS
n00192,n01485,CertificateBasedEAPTTLS,http://example.org/telecom#CertificateBasedEAPTTLS
n00193,n01387,ChallengeResponseProcedures,http://example.org/telecom#ChallengeResponseProcedures
n00194,n01133,ChallengesInOrchestrationMobilityCoordinationSDNNFVIntegrationAndInfrastructureReconfiguration,http://example.org/telecom#ChallengesInOrchestrationMobilityCoordinationSDNNFVIntegrationAndInfrastructureReconfiguration
n00195,n01060,ChangingBindAddressesInNFYAML,http://example.org/telecom#ChangingBindAddressesInNFYAML
n00196,n01056,ChangingNetworkStates,http://example.org/telecom#ChangingNetworkStates
n00197,n00198,Charging,http://example.org/telecom#Charging
n00198,n00228,ChargingConcept,http://example.org/telecom#ChargingConcept
n00199,n00228,CheckpointCycles,http://example.org/telecom#CheckpointCycles
n00200,n00161,ChoiceOfDeployment,http://example.org/telecom#ChoiceOfDeployment
n00201,n00228,ChunkThrottling,http://example.org/telecom#ChunkThrottling
n00202,n00228,CiscoBestPractice,http://example.org/telecom#CiscoBestPractice
n00203,n01060,CiscoUPF,http://example.org/telecom#CiscoUPF
n00204,n00082,Classification,http://example.org/telecom#Classification
n00205,n01485,ClientCertificates,http://example.org/telecom#ClientCertificates
n00206,n01594,Clients,http://example.org/telecom#Clients
n00207,n00228,CloudConcept,http://example.org/telecom#CloudConcept
n00208,n00210,CloudDomain,http://example.org/telecom#CloudDomain
n00209,n00210,CloudEnvironments,http://example.org/telecom#CloudEnvironments
n00210,n00207,CloudLayer,http://example.org/telecom#CloudLayer
n00211,n00210,CloudNativeArchitecture,http://example.org/telecom#CloudNativeArchitecture
n00212,n00210,CloudNativeEnvironments,http://example.org/telecom#CloudNativeEnvironments
n00213,n00210,CloudNativeFeatures,http://example.org/telecom#CloudNativeFeatures
n00214,n00210,CloudNativeMicroservices,http://example.org/telecom#CloudNativeMicroservices
n00215,n01060,CloudNativeUPFArchitectures,http://example.org/telecom#CloudNativeUPFArchitectures
n00216,n00210,CloudToBatchTasks,http://example.org/telecom#CloudToBatchTasks
n00217,n00210,CloudToTrainingTasks,http://example.org/telecom#CloudToTrainingTasks
n00218,n00855,ClusterAndWorkloadConfigurationConsistency,http://example.org/telecom#ClusterAndWorkloadConfigurationConsistency
n00219,n01313,CoLocatedWithRAN,http://example.org/telecom#CoLocatedWithRAN
n00220,n00228,ColdMigration,http://example.org/telecom#ColdMigration
n00221,n00210,CollaborationWithMEC,http://example.org/telecom#CollaborationWithMEC
n00222,n01506,CombinationOfMultipleSliceTypes,http://example.org/telecom#CombinationOfMultipleSliceTypes
n00223,n01594,CommonInDenseDeployments,http://example.org/telecom#CommonInDenseDeployments
n00224,n01224,CompactRuleStructures,http://example.org/telecom#CompactRuleStructures
n00225,n00855,ComplexLifecycleTasks,http://example.org/telecom#ComplexLifecycleTasks
n00226,n00855,ComplexLifecycleTasksForCNFs,http://example.org/telecom#ComplexLifecycleTasksForCNFs
n00227,n00161,ComplianceWithOperatorFrameworks,http://example.org/telecom#ComplianceWithOperatorFrameworks
n00228,,Concept,http://example.org/telecom#Concept
n00229,n00228,ConditionalBuildApproach,http://example.org/telecom#ConditionalBuildApproach
n00230,n01060,ConditionalUDRUpdatesWithEtags,http://example.org/telecom#ConditionalUDRUpdatesWithEtags
n00231,n01060,Confidentiality,http://example.org/telecom#Confidentiality
n00232,n00855,ConfigurationValues,http://example.org/telecom#ConfigurationValues
n00233,n01060,ConfiguringUSRPGains,http://example.org/telecom#ConfiguringUSRPGains
n00234,n01060,ConflictDetectionMechanisms,http://example.org/telecom#ConflictDetectionMechanisms
n00235,n01060,ConflictResolution,http://example.org/telecom#ConflictResolution
n00236,n01060,Conflicts,http://example.org/telecom#Conflicts
n00237,n01060,ConflictsAndRogueAddresses,http://example.org/telecom#ConflictsAndRogueAddresses
n00238,n00228,Congestion,http://example.org/telecom#Congestion
n00239,n00119,ConsiderationOfFairnessAvailabilityAndServiceResilience,http://example.org/telecom#ConsiderationOfFairnessAvailabilityAndServiceResilience
n00240,n00228,ConsistentEndToEndServiceQuality,http://example.org/telecom#ConsistentEndToEndServiceQuality
n00241,n01217,ConsistentSLAAdherence,http://example.org/telecom#ConsistentSLAAdherence
n00242,n01506,ConsistentSliceEnforcement,http://example.org/telecom#ConsistentSliceEnforcement
n00243,n01313,ConsistentUpdatesAcrossRANConfigurations,http://example.org/telecom#ConsistentUpdatesAcrossRANConfigurations
n00244,n00752,ConsumerFacingInterface,http://example.org/telecom#ConsumerFacingInterface
n00245,n01058,ConsumerGradeUEVariability,http://example.org/telecom#ConsumerGradeUEVariability
n00246,n00340,ConsumerProducerModel,http://example.org/telecom#ConsumerProducerModel
n00247,n00161,Container,http://example.org/telecom#Container
n00248,n00161,ContainerBasedCNFApproach,http://example.org/telecom#ContainerBasedCNFApproach
n00249,n00161,ContainerBasedDeployments,http://example.org/telecom#ContainerBasedDeployments
n00250,n00161,ContainerBasedScaling,http://example.org/telecom#ContainerBasedScaling
n00251,n00161,ContainerBasedStatelessDeployment,http://example.org/telecom#ContainerBasedStatelessDeployment
n00252,n00161,ContainerBasedVirtualizationDockerLXCInRealTimeIndustrialSystems,http://example.org/telecom#ContainerBasedVirtualizationDockerLXCInRealTimeIndustrialSystems
n00253,n00161,ContainerOrchestration,http://example.org/telecom#ContainerOrchestration
n00254,n00161,ContainerPlacement,http://example.org/telecom#ContainerPlacement
n00255,n00161,ContainerPlatforms,http://example.org/telecom#ContainerPlatforms
n00256,n00161,ContainerRegistryPlacement,http://example.org/telecom#ContainerRegistryPlacement
n00257,n00161,ContainerizedDeployments,http://example.org/telecom#ContainerizedDeployments
n00258,n01060,ContainerizedNFs,http://example.org/telecom#ContainerizedNFs
n00259,n01313,ContainerizedRANTestbed,http://example.org/telecom#ContainerizedRANTestbed
n00260,n00161,Containers,http://example.org/telecom#Containers
n00261,n00794,ContentRetrievalLatency,http://example.org/telecom#ContentRetrievalLatency
n00262,n00855,ContextManagement,http://example.org/telecom#ContextManagement
n00263,n01594,ContextObjects,http://example.org/telecom#ContextObjects
n00264,n01594,ContextRetrievalByAnyInstance,http://example.org/telecom#ContextRetrievalByAnyInstance
n00265,n01060,ContextSharingInNFSets,http://example.org/telecom#ContextSharingInNFSets
n00266,n00910,ContinuousMonitoring,http://example.org/telecom#ContinuousMonitoring
n00267,n01594,ContradictoryIntents,http://example.org/telecom#ContradictoryIntents
n00268,n00273,ControlAndUserPlaneSeparationCUPSModel,http://example.org/telecom#ControlAndUserPlaneSeparationCUPSModel
n00269,n00273,ControlAndUserPlaneSeparationCUPSPrinciple,http://example.org/telecom#ControlAndUserPlaneSeparationCUPSPrinciple
n00270,n00273,ControlGatewaysAndUserGateways,http://example.org/telecom#ControlGatewaysAndUserGateways
n00271,n01060,ControlInterfaceBetweenSMF,http://example.org/telecom#ControlInterfaceBetweenSMF
n00272,n00273,ControlOverhead,http://example.org/telecom#ControlOverhead
n00273,n01055,ControlPlane,http://example.org/telecom#ControlPlane
n00274,n00273,ControlPlaneAPIs,http://example.org/telecom#ControlPlaneAPIs
n00275,n00273,ControlPlaneContinuityAcrossAdministrativeDomains,http://example.org/telecom#ControlPlaneContinuityAcrossAdministrativeDomains
n00276,n00273,ControlPlaneFunctions,http://example.org/telecom#ControlPlaneFunctions
n00277,n00273,ControlPlaneInteractions,http://example.org/telecom#ControlPlaneInteractions
n00278,n00273,ControlPlaneInterface,http://example.org/telecom#ControlPlaneInterface
n00279,n00273,ControlPlaneInterfaces,http://example.org/telecom#ControlPlaneInterfaces
n00280,n00273,ControlPlaneLatencyVariance,http://example.org/telecom#ControlPlaneLatencyVariance
n00281,n00273,ControlPlaneMessages,http://example.org/telecom#ControlPlaneMessages
n00282,n00273,ControlPlaneNFsDeployedInCentralizedCloudRegions,http://example.org/telecom#ControlPlaneNFsDeployedInCentralizedCloudRegions
n00283,n00273,ControlPlaneNFsToExposeRESTfulAPIs,http://example.org/telecom#ControlPlaneNFsToExposeRESTfulAPIs
n00284,n00273,ControlPlaneOnly,http://example.org/telecom#ControlPlaneOnly
n00285,n00273,ControlPlaneScalingInsights,http://example.org/telecom#ControlPlaneScalingInsights
n00286,n00273,ControlPlaneSecurity,http://example.org/telecom#ControlPlaneSecurity
n00287,n00273,ControlPlaneSignalingHealth,http://example.org/telecom#ControlPlaneSignalingHealth
n00288,n00273,ControlPlaneSignalingPerformance,http://example.org/telecom#ControlPlaneSignalingPerformance
n00289,n00273,ControlPlaneSignalling,http://example.org/telecom#ControlPlaneSignalling
n00290,n00273,ControlPlaneTraffic,http://example.org/telecom#ControlPlaneTraffic
n00291,n00273,ControlledNaturalLanguageDSLs,http://example.org/telecom#ControlledNaturalLanguageDSLs
n00292,n00297,Core,http://example.org/telecom#Core
n00293,n01060,CoreAMFAddress,http://example.org/telecom#CoreAMFAddress
n00294,n00297,CoreCoDesign,http://example.org/telecom#CoreCoDesign
n00295,n00297,CoreDomains,http://example.org/telecom#CoreDomains
n00296,n00297,CoreLayers,http://example.org/telecom#CoreLayers
n00297,n01055,CoreNetwork,http://example.org/telecom#CoreNetwork
n00298,n00366,CoreNetworkDesign,http://example.org/telecom#CoreNetworkDesign
n00299,n00297,CoreNetworkSettings,http://example.org/telecom#CoreNetworkSettings
n00300,n00297,CoreNetworkTopology,http://example.org/telecom#CoreNetworkTopology
n00301,n00297,CoreOnSeparateServers,http://example.org/telecom#CoreOnSeparateServers
n00302,n00297,CoreSetup,http://example.org/telecom#CoreSetup
n00303,n00297,CoreYAMLConfigurations,http://example.org/telecom#CoreYAMLConfigurations
n00304,n00228,Cost,http://example.org/telecom#Cost
n00305,n00228,CostPenalties,http://example.org/telecom#CostPenalties
n00306,n01594,CostQoSTradeOffs,http://example.org/telecom#CostQoSTradeOffs
n00307,n00228,Counters,http://example.org/telecom#Counters
n00308,n01058,CountersForNASRegistrationRequestsRmReginitreq,http://example.org/telecom#CountersForNASRegistrationRequestsRmReginitreq
n00309,n01205,CountersGaugesAndHistograms,http://example.org/telecom#CountersGaugesAndHistograms
n00310,n00228,CoverageAreaPolygon,http://example.org/telecom#CoverageAreaPolygon
n00311,n00228,Create,http://example.org/telecom#Create
n00312,n00161,CriticalCNF,http://example.org/telecom#CriticalCNF
n00313,n01060,CriticalCNFs,http://example.org/telecom#CriticalCNFs
n00314,n00273,CriticalCPAsset,http://example.org/telecom#CriticalCPAsset
n00315,n00273,CriticalCPAssets,http://example.org/telecom#CriticalCPAssets
n00316,n00228,CriticalFlows,http://example.org/telecom#CriticalFlows
n00317,n01060,CriticalForConflictDetection,http://example.org/telecom#CriticalForConflictDetection
n00318,n01266,CriticalForMultipleIndustrialOperationsSharingTheSame5GInfrastructure,http://example.org/telecom#CriticalForMultipleIndustrialOperationsSharingTheSame5GInfrastructure
n00319,n01205,CriticalForNGAPDebugging,http://example.org/telecom#CriticalForNGAPDebugging
n00320,n01506,CrossBorderSlicingSLAs,http://example.org/telecom#CrossBorderSlicingSLAs
n00321,n00228,Curl,http://example.org/telecom#Curl
n00322,n01133,CurrentOrchestrationPlatformsEGKubernetes,http://example.org/telecom#CurrentOrchestrationPlatformsEGKubernetes
n00323,n00446,CustomEdgeKubernetesDeployments,http://example.org/telecom#CustomEdgeKubernetesDeployments
n00324,n00228,CustomResourceDefinitionsCRDs,http://example.org/telecom#CustomResourceDefinitionsCRDs
n00325,n01205,CustomSchedulers,http://example.org/telecom#CustomSchedulers
n00326,n01217,CustomerSLABackedEndToEndLogicalNetwork,http://example.org/telecom#CustomerSLABackedEndToEndLogicalNetwork
n00327,n01266,DHCP,http://example.org/telecom#DHCP
n00328,n01060,DHCPBasedIPAllocationViaUPF,http://example.org/telecom#DHCPBasedIPAllocationViaUPF
n00329,n01217,DNNBasedPolicySteering,http://example.org/telecom#DNNBasedPolicySteering
n00330,n01506,DNNOrSliceBasedPolicySteering,http://example.org/telecom#DNNOrSliceBasedPolicySteering
n00331,n01060,DNSBasedUPFSelection,http://example.org/telecom#DNSBasedUPFSelection
n00332,n01266,DNSServices,http://example.org/telecom#DNSServices
n00333,n01838,DPCUPCR,http://example.org/telecom#DPCUPCR
n00334,n00228,DPDK,http://example.org/telecom#DPDK
n00335,n00228,DRB,http://example.org/telecom#DRB
n00336,n00049,DSLIntentIntoLSOAPICalls,http://example.org/telecom#DSLIntentIntoLSOAPICalls
n00337,n01060,DashboardingPerNFType,http://example.org/telecom#DashboardingPerNFType
n00338,n00342,DataBuffering,http://example.org/telecom#DataBuffering
n00339,n01060,DataCentricFunctions,http://example.org/telecom#DataCentricFunctions
n00340,n00341,DataModel,http://example.org/telecom#DataModel
